date, pm25, pm10, o3, so2, co
2018/7/26, 25, 13, 27, , 
2018/7/27, 20, 11, 29, , 
2018/7/28, 24, 18, 32, , 
2018/7/29, 32, 26, 40, 5, 
2018/7/30, 41, 18, 32, 2, 
2018/7/31, 51, 12, 35, , 
2018/8/1, 36, 19, 39, 1, 
2018/8/2, 40, 20, 43, 1, 
2018/8/3, 46, 23, 55, 2, 
2018/8/4, 51, 28, 43, , 
2018/8/5, 56, 23, 32, , 
2018/8/6, 51, 17, 38, , 
2018/8/7, 39, 13, 40, , 
2018/8/8, 41, 22, 32, , 
2018/8/9, 54, 14, 37, 6, 
2018/8/10, 47, 18, 34, 5, 
2018/8/11, 36, 19, 35, 7, 
2018/8/12, 50, 23, 43, 5, 
2018/8/13, 53, 25, 41, , 
2018/8/14, 61, 31, 38, , 
2018/8/15, 65, 22, 15, , 
2018/8/16, 41, 14, 27, , 
2018/8/17, 30, 17, 34, 2, 
2018/8/18, 52, 15, 27, , 
2018/8/19, 50, 18, 32, , 
2018/8/20, 49, 12, 19, , 
2018/8/21, 37, 14, 24, , 
2018/8/22, 37, 20, 30, , 
2018/8/23, 34, 27, 37, 1, 
2018/8/24, 43, 21, 30, , 
2018/8/25, 51, 27, 29, , 
2018/8/26, 68, 36, 33, , 
2018/8/27, 66, 33, 31, , 
2018/8/28, 68, 13, 32, , 
2018/8/29, 27, 10, 37, 4, 
2018/8/30, 24, 18, 39, , 
2018/8/31, 26, 19, 25, , 
2018/9/4, 36, 32, 33, , 
2018/9/5, 39, 8, 21, , 
2018/9/6, 21, 9, 24, 1, 
2018/9/7, 17, 9, 20, 2, 
2018/9/8, 20, 7, 18, 1, 
2018/9/9, 15, 7, 13, , 
2018/9/10, 19, 12, 36, 1, 
2018/9/11, 25, 19, 28, 1, 
2018/9/12, 37, 21, 19, , 
2018/9/13, 46, 28, 41, 2, 
2018/9/14, 43, 18, 36, 3, 
2018/9/15, 54, 11, 25, 1, 
2018/9/16, 37, 20, 43, 3, 
2018/9/17, 36, 23, 39, 1, 
2018/9/18, 37, 14, 30, 8, 
2018/9/19, 38, 12, 32, , 
2018/9/20, 32, 25, 33, , 
2018/9/21, 30, 8, 25, 2, 
2018/9/22, 24, 13, 31, 2, 
2018/9/23, 36, 12, 13, , 
2018/9/24, 29, 10, 14, , 
2018/9/25, 18, 10, 26, , 
2018/9/26, 17, 21, 24, , 
2018/9/27, 30, 20, 25, , 
2018/9/28, 27, 8, 26, , 
2018/9/29, 21, 8, 16, 2, 
2018/9/30, 34, 9, 14, 1, 
2018/4/1, 18, , 34, , 
2018/4/2, 37, , 23, , 
2018/4/3, 25, , 32, , 
2018/4/4, 19, , 37, , 
2018/4/5, 20, , 37, , 
2018/4/6, 22, , 32, , 
2018/4/7, 21, , 38, , 
2018/4/8, 27, , 33, , 
2018/4/9, 32, , 40, , 
2018/4/10, 30, , 32, , 
2018/4/11, 36, , 40, , 
2018/4/12, 46, , 25, , 
2018/4/13, 36, , 27, , 
2018/4/14, 21, , 28, , 
2018/4/15, 15, , 28, , 
2018/4/16, 14, , 30, , 
2018/4/17, 17, , 31, , 
2018/4/18, 16, , 41, , 
2018/4/19, 19, , 40, , 
2018/4/20, 21, , 38, , 
2018/4/21, 34, , 43, , 
2018/4/22, 33, , 48, , 
2018/4/23, 41, , 33, , 
2018/4/24, 26, , 37, , 
2018/4/25, 23, , 37, , 
2018/4/26, 24, , 41, , 
2018/4/27, 40, , 31, , 
2018/4/28, 23, , 37, , 
2018/4/29, 28, , 46, , 
2018/4/30, 35, , 46, , 
2018/5/1, 40, , 42, , 
2018/5/2, 44, , 32, , 
2018/5/3, 28, , 38, , 
2018/5/4, 28, , 47, , 
2018/5/5, 32, , 44, , 
2018/5/6, 43, , 40, , 
2018/5/7, 27, , 46, , 
2018/5/8, 33, , 48, , 
2018/5/9, 42, , 36, , 
2018/5/10, 31, , 24, , 
2018/5/11, 21, , , , 
2018/5/12, 33, , , , 
2018/5/13, 35, , 31, , 
2018/5/14, 37, 13, 43, 3, 
2018/5/15, 31, 23, 51, 5, 
2018/5/16, 39, 31, 51, 3, 
2018/5/17, 46, 23, 37, 4, 
2018/5/18, 30, 14, 28, , 
2018/5/19, 32, 11, 27, , 
2018/5/20, 30, 11, 35, 2, 
2018/5/21, 27, 17, 28, , 
2018/5/22, 35, 23, 45, 1, 
2018/5/23, 30, 33, 48, 2, 
2018/5/24, 40, 34, 58, 1, 
2018/5/25, 44, 30, 46, , 
2018/5/26, 59, 26, 21, , 
2018/5/27, 57, , , , 
2018/6/4, 14, 12, 29, 2, 
